Charging:	00030.00	03.8687	01.0004	0000.0323
Charging:	00060.00	03.8990	00.9996	0000.0647
Charging:	00090.00	03.9115	00.9996	0000.0973
Charging:	00120.00	03.9204	00.9997	0000.1300
Charging:	00150.00	03.9274	00.9996	0000.1627
Charging:	00180.00	03.9330	00.9997	0000.1955
Charging:	00210.00	03.9378	00.9996	0000.2283
Charging:	00240.00	03.9419	00.9996	0000.2611
Charging:	00270.00	03.9457	00.9997	0000.2940
Charging:	00300.00	03.9492	00.9996	0000.3269
Charging:	00330.00	03.9525	00.9996	0000.3598
Charging:	00360.00	03.9556	00.9996	0000.3927
Charging:	00390.00	03.9585	00.9996	0000.4257
Charging:	00420.00	03.9612	00.9996	0000.4587
Charging:	00450.00	03.9640	00.9996	0000.4917
Charging:	00480.00	03.9666	00.9996	0000.5248
Charging:	00510.00	03.9693	00.9996	0000.5578
Charging:	00540.00	03.9718	00.9996	0000.5909
Charging:	00570.00	03.9742	00.9997	0000.6240
Charging:	00600.00	03.9767	00.9997	0000.6572
Charging:	00630.00	03.9791	00.9996	0000.6903
Charging:	00660.00	03.9816	00.9997	0000.7235
Charging:	00690.00	03.9840	00.9996	0000.7567
Charging:	00720.00	03.9864	00.9996	0000.7899
Charging:	00750.00	03.9888	00.9997	0000.8231
Charging:	00780.00	03.9911	00.9997	0000.8564
Charging:	00810.00	03.9936	00.9997	0000.8896
Charging:	00840.00	03.9958	00.9997	0000.9229
Charging:	00870.00	03.9982	00.9996	0000.9562
Charging:	00900.00	04.0005	00.9997	0000.9895
Charging:	00930.00	04.0029	00.9996	0001.0229
Charging:	00960.00	04.0053	00.9997	0001.0563
Charging:	00990.00	04.0077	00.9997	0001.0896
Charging:	01020.00	04.0100	00.9997	0001.1230
Charging:	01050.00	04.0123	00.9997	0001.1565
Charging:	01080.00	04.0146	00.9997	0001.1899
Charging:	01110.00	04.0169	00.9997	0001.2234
Charging:	01140.00	04.0192	00.9997	0001.2569
Charging:	01170.00	04.0215	00.9997	0001.2904
Charging:	01200.00	04.0239	00.9997	0001.3239
Charging:	01230.00	04.0262	00.9997	0001.3574
Charging:	01260.00	04.0285	00.9997	0001.3910
Charging:	01290.00	04.0308	00.9997	0001.4246
Charging:	01320.00	04.0331	00.9997	0001.4582
Charging:	01350.00	04.0354	00.9997	0001.4918
Charging:	01380.00	04.0378	00.9997	0001.5254
Charging:	01410.00	04.0401	00.9997	0001.5591
Charging:	01440.00	04.0423	00.9996	0001.5927
Charging:	01470.00	04.0447	00.9997	0001.6264
Charging:	01500.00	04.0470	00.9997	0001.6602
Charging:	01530.00	04.0494	00.9997	0001.6939
Charging:	01560.00	04.0519	00.9997	0001.7276
Charging:	01590.00	04.0542	00.9997	0001.7614
Charging:	01620.00	04.0565	00.9997	0001.7952
