n=;50;Dir=;DO;T0=;14.88;P0=;80.49;T1=;66.90;P1=;23.82;a=; 3.1;229292211
n=;51;Dir=;UP;T0=;14.87;P0=;80.97;T1=;66.90;P1=;23.69;a=; 3.1;233850471
n=;52;Dir=;DO;T0=;14.88;P0=;80.87;T1=;66.89;P1=;23.49;a=; 3.1;238404129
n=;53;Dir=;UP;T0=;14.85;P0=;81.14;T1=;66.88;P1=;23.30;a=; 3.1;242957505
n=;54;Dir=;DO;T0=;14.87;P0=;80.70;T1=;66.88;P1=;23.48;a=; 3.1;247511099
n=;55;Dir=;UP;T0=;14.85;P0=;80.70;T1=;66.87;P1=;22.85;a=; 3.1;252064993
n=;56;Dir=;DO;T0=;14.86;P0=;81.15;T1=;66.86;P1=;23.27;a=; 2.6;256618369
n=;57;Dir=;UP;T0=;14.84;P0=;81.23;T1=;66.86;P1=;22.57;a=; 3.1;261172130
n=;58;Dir=;DO;T0=;14.86;P0=;80.64;T1=;66.85;P1=;23.53;a=; 3.1;265726010
n=;59;Dir=;UP;T0=;14.84;P0=;81.13;T1=;66.85;P1=;24.16;a=; 3.1;270279479
n=;60;Dir=;DO;T0=;14.85;P0=;80.63;T1=;66.84;P1=;22.73;a=; 2.6;274837771
n=;61;Dir=;UP;T0=;14.84;P0=;81.56;T1=;66.83;P1=;23.43;a=; 2.6;279391618
n=;62;Dir=;DO;T0=;14.84;P0=;81.34;T1=;66.82;P1=;23.97;a=; 6.9;283945670
n=;63;Dir=;UP;T0=;14.82;P0=;81.20;T1=;66.81;P1=;23.12;a=; 3.1;288503932
n=;64;Dir=;DO;T0=;14.83;P0=;80.94;T1=;66.80;P1=;22.93;a=; 3.1;293061984
n=;65;Dir=;UP;T0=;14.82;P0=;81.01;T1=;66.80;P1=;23.31;a=; 2.6;297615615
n=;66;Dir=;DO;T0=;14.83;P0=;81.20;T1=;66.80;P1=;23.42;a=; 3.1;302168839
n=;67;Dir=;UP;T0=;14.81;P0=;80.56;T1=;66.79;P1=;22.32;a=; 3.1;306726919
n=;68;Dir=;DO;T0=;14.82;P0=;80.89;T1=;66.78;P1=;22.81;a=; 3.1;311280566
n=;69;Dir=;UP;T0=;14.80;P0=;81.52;T1=;66.77;P1=;23.16;a=; 2.6;315834069
n=;70;Dir=;DO;T0=;14.81;P0=;80.78;T1=;66.76;P1=;22.55;a=; 3.1;320387535
n=;71;Dir=;UP;T0=;14.79;P0=;80.78;T1=;66.75;P1=;24.02;a=; 2.6;324941230
n=;72;Dir=;DO;T0=;14.80;P0=;80.78;T1=;66.74;P1=;23.60;a=; 3.1;329495283
n=;73;Dir=;UP;T0=;14.79;P0=;81.63;T1=;66.74;P1=;22.81;a=; 3.1;334048492
n=;74;Dir=;DO;T0=;14.80;P0=;80.99;T1=;66.75;P1=;23.57;a=; 3.1;338601914
n=;75;Dir=;UP;T0=;14.79;P0=;80.02;T1=;66.78;P1=;24.06;a=; 3.1;343155468
n=;76;Dir=;DO;T0=;14.82;P0=;79.99;T1=;66.80;P1=;23.68;a=; 5.3;347709157
n=;77;Dir=;UP;T0=;14.81;P0=;80.55;T1=;66.81;P1=;24.41;a=; 3.1;352262435
n=;78;Dir=;DO;T0=;14.83;P0=;79.82;T1=;66.81;P1=;23.69;a=; 3.1;356820754
n=;79;Dir=;UP;T0=;14.82;P0=;80.74;T1=;66.82;P1=;23.75;a=; 2.6;361378795
n=;80;Dir=;DO;T0=;14.83;P0=;80.54;T1=;66.82;P1=;23.38;a=; 3.1;365935945
n=;81;Dir=;UP;T0=;14.82;P0=;80.50;T1=;66.83;P1=;23.92;a=; 3.1;370489554
n=;82;Dir=;DO;T0=;14.84;P0=;80.48;T1=;66.83;P1=;23.50;a=; 3.1;375042848
n=;83;Dir=;UP;T0=;14.83;P0=;80.11;T1=;66.83;P1=;24.08;a=; 3.1;379599199
n=;84;Dir=;DO;T0=;14.84;P0=;80.35;T1=;66.83;P1=;23.46;a=; 3.1;384156246
n=;85;Dir=;UP;T0=;14.82;P0=;80.75;T1=;66.82;P1=;23.28;a=; 2.6;388714041
n=;86;Dir=;DO;T0=;14.84;P0=;80.22;T1=;66.84;P1=;23.26;a=; 3.1;393272170
n=;87;Dir=;UP;T0=;14.83;P0=;80.91;T1=;66.85;P1=;23.53;a=; 3.1;397825602
n=;88;Dir=;DO;T0=;14.85;P0=;80.78;T1=;66.85;P1=;23.45;a=; 3.1;402383293
n=;89;Dir=;UP;T0=;14.84;P0=;80.60;T1=;66.86;P1=;23.58;a=; 5.3;406941186
n=;90;Dir=;DO;T0=;14.86;P0=;80.95;T1=;66.87;P1=;23.64;a=; 3.1;411498754
n=;91;Dir=;UP;T0=;14.85;P0=;80.47;T1=;66.88;P1=;24.01;a=; 3.1;416055477
