n=;63;T0=;77.41;P0=;8.57;T1=;18.42;P1=;48.18;a=;5.56680
n=;64;T0=;77.40;P0=;8.82;T1=;18.43;P1=;47.62;a=;5.56680
n=;65;T0=;77.39;P0=;8.37;T1=;18.42;P1=;48.08;a=;5.56680
n=;66;T0=;77.39;P0=;8.77;T1=;18.43;P1=;47.94;a=;5.56680
n=;67;T0=;77.39;P0=;8.71;T1=;18.42;P1=;47.83;a=;5.56680
n=;68;T0=;77.37;P0=;9.44;T1=;18.43;P1=;48.02;a=;5.56680
n=;69;T0=;77.37;P0=;8.77;T1=;18.42;P1=;47.34;a=;5.56680
n=;70;T0=;77.36;P0=;8.51;T1=;18.43;P1=;47.67;a=;5.56680
n=;71;T0=;77.35;P0=;9.05;T1=;18.42;P1=;48.33;a=;5.56680
n=;72;T0=;77.34;P0=;8.50;T1=;18.43;P1=;48.62;a=;5.56680
n=;73;T0=;77.33;P0=;9.30;T1=;18.42;P1=;47.61;a=;5.56680
n=;74;T0=;77.33;P0=;8.93;T1=;18.43;P1=;47.82;a=;5.56680
