1 007	028	+028.535	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	055	+025.552	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	027	+028.646	-01694 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	055	+025.552	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	027	+028.646	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	026	+028.756	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	054	+025.662	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	026	+028.756	-01694 -01636 +02191	-000.529 -000.511 +000.684 +001.005
0 007	054	+025.662	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01694 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	054	+025.662	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01695 -01636 +02191	-000.529 -000.511 +000.684 +001.005
0 007	055	+025.552	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	029	+028.425	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	054	+025.662	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	032	+028.093	-01694 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	056	+025.441	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01694 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	055	+025.552	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01693 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	056	+025.441	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	028	+028.535	-01694 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	056	+025.441	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	026	+028.756	-01694 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	054	+025.662	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01694 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	056	+025.441	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	027	+028.646	-01694 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	055	+025.552	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	026	+028.756	-01694 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	055	+025.552	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	055	+025.552	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	028	+028.535	-01694 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	056	+025.441	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	032	+028.093	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	056	+025.441	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	029	+028.425	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	056	+025.441	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	067	+024.226	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	031	+028.204	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01694 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	058	+025.220	+00005 +02361 +02407	+000.001 +000.737 +000.752 +001.053
1 007	030	+028.314	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	028	+028.535	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	058	+025.220	+00005 +02361 +02407	+000.001 +000.737 +000.752 +001.053
1 007	029	+028.425	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	058	+025.220	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	030	+028.314	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	030	+028.314	-01695 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	056	+025.441	+00005 +02361 +02407	+000.001 +000.737 +000.752 +001.053
1 007	029	+028.425	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	030	+028.314	-01695 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	057	+025.331	+00006 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	029	+028.425	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	058	+025.220	+00005 +02361 +02407	+000.001 +000.737 +000.752 +001.053
1 007	033	+027.983	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	058	+025.220	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	030	+028.314	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00006 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01695 -01634 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00006 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	030	+028.314	-01695 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	057	+025.331	+00006 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	031	+028.204	-01695 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	056	+025.441	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	029	+028.425	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00005 +02361 +02407	+000.001 +000.737 +000.752 +001.053
1 007	030	+028.314	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	058	+025.220	+00006 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	032	+028.093	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	058	+025.220	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	031	+028.204	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	030	+028.314	-01694 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	057	+025.331	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	034	+027.872	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02361 +02407	+000.001 +000.737 +000.752 +001.053
1 007	032	+028.093	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	060	+025.000	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	032	+028.093	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	060	+025.000	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	033	+027.983	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	057	+025.331	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	032	+028.093	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	031	+028.204	-01695 -01636 +02192	-000.529 -000.511 +000.685 +001.005
0 007	058	+025.220	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	033	+027.983	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	058	+025.220	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	032	+028.093	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	060	+025.000	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	032	+028.093	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	058	+025.220	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	031	+028.204	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	058	+025.220	+00004 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	030	+028.314	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	030	+028.314	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	032	+028.093	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
